Date,Price,Log_Return,Log_Return_%
2018-01-03,2713.06,0.006378,0.6378
2018-01-04,2723.99,0.004021,0.4021
2018-01-05,2743.15,0.007009,0.7009
2018-01-08,2747.71,0.001661,0.1661
2018-01-09,2751.29,0.001302,0.1302
2018-01-10,2748.23,-0.001113,-0.1113
2018-01-11,2767.56,0.007009,0.7009
2018-01-12,2786.24,0.006727,0.6727
2018-01-16,2776.42,-0.003531,-0.3531
2018-01-17,2802.56,0.009371,0.9371
2018-01-18,2798.03,-0.001618,-0.1618
2018-01-19,2810.3,0.004376,0.4376
2018-01-22,2832.97,0.008034,0.8034
2018-01-23,2839.13,0.002172,0.2172
2018-01-24,2837.54,-0.00056,-0.056
2018-01-25,2839.25,0.000602,0.0602
2018-01-26,2872.87,0.011772,1.1772
2018-01-29,2853.53,-0.006755,-0.6755
2018-01-30,2822.43,-0.010959,-1.0959
2018-01-31,2823.81,0.000489,0.0489
2018-02-01,2821.98,-0.000648,-0.0648
2018-02-02,2762.13,-0.021437,-2.1437
2018-02-05,2648.94,-0.041843,-4.1843
2018-02-06,2695.14,0.017291,1.7291
2018-02-07,2681.66,-0.005014,-0.5014
2018-02-08,2581.0,-0.038259,-3.8259
2018-02-09,2619.55,0.014826,1.4826
2018-02-12,2656.0,0.013819,1.3819
2018-02-13,2662.94,0.00261,0.261
2018-02-14,2698.63,0.013313,1.3313
2018-02-15,2731.2,0.011997,1.1997
2018-02-16,2732.22,0.000373,0.0373
2018-02-20,2716.26,-0.005859,-0.5859
2018-02-21,2701.33,-0.005512,-0.5512
2018-02-22,2703.96,0.000973,0.0973
2018-02-23,2747.3,0.015901,1.5901
2018-02-26,2779.6,0.011688,1.1688
2018-02-27,2744.28,-0.012788,-1.2788
2018-02-28,2713.83,-0.011158,-1.1158
2018-03-01,2677.67,-0.013414,-1.3414
2018-03-02,2691.25,0.005059,0.5059
2018-03-05,2720.94,0.010972,1.0972
2018-03-06,2728.12,0.002635,0.2635
2018-03-07,2726.8,-0.000484,-0.0484
2018-03-08,2738.97,0.004453,0.4453
2018-03-09,2786.57,0.01723,1.723
2018-03-12,2783.02,-0.001275,-0.1275
2018-03-13,2765.31,-0.006384,-0.6384
2018-03-14,2749.48,-0.005741,-0.5741
2018-03-15,2747.33,-0.000782,-0.0782
2018-03-16,2752.01,0.001702,0.1702
2018-03-19,2712.92,-0.014306,-1.4306
2018-03-20,2716.94,0.001481,0.1481
2018-03-21,2711.93,-0.001846,-0.1846
2018-03-22,2643.69,-0.025485,-2.5485
2018-03-23,2588.26,-0.02119,-2.119
2018-03-26,2658.55,0.026795,2.6795
2018-03-27,2612.62,-0.017427,-1.7427
2018-03-28,2605.0,-0.002921,-0.2921
2018-03-29,2640.87,0.013676,1.3676
2018-04-02,2581.88,-0.022591,-2.2591
2018-04-03,2614.45,0.012536,1.2536
2018-04-04,2644.69,0.0115,1.15
2018-04-05,2662.84,0.006839,0.6839
2018-04-06,2604.47,-0.022164,-2.2164
2018-04-09,2613.16,0.003331,0.3331
2018-04-10,2656.87,0.016589,1.6589
2018-04-11,2642.19,-0.005541,-0.5541
2018-04-12,2663.99,0.008217,0.8217
2018-04-13,2656.3,-0.002891,-0.2891
2018-04-16,2677.84,0.008076,0.8076
2018-04-17,2706.39,0.010605,1.0605
2018-04-18,2708.64,0.000831,0.0831
2018-04-19,2693.13,-0.005743,-0.5743
2018-04-20,2670.14,-0.008573,-0.8573
2018-04-23,2670.29,5.6e-05,0.0056
2018-04-24,2634.56,-0.013471,-1.3471
2018-04-25,2639.4,0.001835,0.1835
2018-04-26,2666.94,0.01038,1.038
2018-04-27,2669.91,0.001113,0.1113
2018-04-30,2648.05,-0.008221,-0.8221
2018-05-01,2654.8,0.002546,0.2546
2018-05-02,2635.67,-0.007232,-0.7232
2018-05-03,2629.73,-0.002256,-0.2256
2018-05-04,2663.42,0.01273,1.273
2018-05-07,2672.63,0.003452,0.3452
2018-05-08,2671.92,-0.000266,-0.0266
2018-05-09,2697.79,0.009636,0.9636
2018-05-10,2723.07,0.009327,0.9327
2018-05-11,2727.72,0.001706,0.1706
2018-05-14,2730.13,0.000883,0.0883
2018-05-15,2711.45,-0.006866,-0.6866
2018-05-16,2722.46,0.004052,0.4052
2018-05-17,2720.13,-0.000856,-0.0856
2018-05-18,2712.97,-0.002636,-0.2636
2018-05-21,2733.01,0.00736,0.736
2018-05-22,2724.44,-0.003141,-0.3141
2018-05-23,2733.29,0.003243,0.3243
2018-05-24,2727.76,-0.002025,-0.2025
2018-05-25,2721.33,-0.00236,-0.236
2018-05-29,2689.86,-0.011632,-1.1632
2018-05-30,2724.01,0.012616,1.2616
2018-05-31,2705.27,-0.006903,-0.6903
2018-06-01,2734.62,0.010791,1.0791
2018-06-04,2746.87,0.00447,0.447
2018-06-05,2748.8,0.000702,0.0702
2018-06-06,2772.35,0.008531,0.8531
2018-06-07,2770.37,-0.000714,-0.0714
2018-06-08,2779.03,0.003121,0.3121
2018-06-11,2782.0,0.001068,0.1068
2018-06-12,2786.85,0.001742,0.1742
2018-06-13,2775.63,-0.004034,-0.4034
2018-06-14,2782.49,0.002469,0.2469
